31053	14694	32651	29553	37415	32324	31659	31364
30861	14680	32983	29556	37417	32333	31663	31379
30644	14684	32823	29561	37409	32340	31655	31367
30374	14701	32569	29553	37405	32341	31671	31076
30103	14684	32794	29561	37409	32342	31681	31365
29839	14753	32929	29567	37414	32334	31703	31361
29604	14690	33185	29569	37415	32332	31719	31365
29382	14678	32935	29569	37413	32341	31732	31367
29342	14695	33028	29567	37409	32340	31773	31380
29313	14683	32563	29567	37389	32335	31791	31357
29305	14676	32276	29579	37397	32329	31792	31357
29315	14720	32695	29568	37388	32319	31805	31365
29327	14693	32859	29545	37389	32325	31809	31373
29307	14673	32823	29557	37381	32324	31803	31366
29252	14718	32773	29545	37392	32324	31817	31359
29133	14681	32817	29539	37394	32327	31804	31366
28933	14678	32903	29538	37407	32319	31788	31367
28609	14701	32897	29533	37407	32326	31769	31362
28329	14677	32841	29528	37401	32340	31753	31367
28221	14679	32771	29564	37401	32337	31733	31375
28169	14687	32967	29531	37405	32332	31715	31374
28246	14670	32821	29541	37405	32335	31684	31367
28388	14696	32388	29553	37409	32335	31661	31361
28542	14673	32501	29541	37415	32337	31636	31359
28751	14700	32418	29575	37413	32340	31614	31363
28948	14669	32391	29577	37421	32343	31587	31364
29033	14692	32567	29561	37414	32355	31580	31361
29095	14670	32701	29556	37421	32351	31583	31373
29145	14701	32851	29557	37415	32359	31596	31375
29120	14689	32985	29557	37413	32365	31581	31381
29094	14668	32805	29551	37412	32357	31575	31375
29167	14698	32617	29558	37421	32343	31593	31372
29241	14667	32422	29562	37407	32335	31599	31361
29260	14708	32428	29517	37413	32331	31612	31364
29259	14667	32713	29561	37415	32330	31632	31375
29221	14681	32708	29575	37401	32325	31663	31261
29077	14713	33260	29557	37407	32331	31700	31361
28987	14666	33110	29557	37404	32336	31692	31375
29001	14693	32988	29566	37399	32341	31693	31375
29054	14666	32752	29533	37401	32336	31689	31357
29097	14684	32709	29550	37396	32340	31691	31380
29083	14735	32505	29577	37405	32337	31669	31370
29125	14665	32589	29551	37393	32355	31673	31365
29191	14681	32981	29562	37399	32359	31645	31359
29231	14664	32644	29538	37409	32356	31631	31381
29273	14668	32331	29569	37413	32353	31628	31365
29343	14695	32815	29552	37411	32350	31621	31373
29423	14660	32725	29563	37421	32335	31607	31388
29532	14679	32477	29553	37423	32343	31609	31367
29653	14703	33054	29571	37423	32337	31629	31367
29719	14655	32813	29557	37424	32337	31639	31373
29803	14669	32723	29561	37439	32321	31629	31364
29877	14660	32769	29512	37439	32319	31626	31367
29870	14674	32783	29530	37447	32325	31670	31367
29911	14741	32326	29538	37451	32321	31710	31375
29963	14671	32640	29573	37447	32333	31701	31375
30015	14715	32697	29573	37449	32311	31716	31137
30055	14661	32647	29562	37451	32309	31733	31374
30119	14693	32863	29567	37460	32302	31753	31371
30231	14655	32800	29539	37451	32313	31767	31369
30233	14673	32960	29565	37446	32319	31777	31367
30176	14655	32868	29559	37438	32319	31775	31390
30111	14663	32847	29573	37429	32322	31767	31367
30068	14702	32865	29544	37431	32329	31767	31375
30021	14653	32781	29567	37421	32327	31742	31373
29963	14661	32759	29559	37421	32327	31757	31383
29953	14699	32646	29563	37413	32331	31733	31377
29983	14655	32164	29577	37407	32341	31719	31369
29983	14669	32213	29575	37412	32333	31728	31381
30051	14695	32361	29567	37415	32333	31685	31371
30092	14652	32727	29527	37421	32340	31659	31382
30211	14662	32764	29561	37423	32341	31631	31391
30395	14707	32761	29556	37415	32337	31615	31340
30473	14653	33172	29561	37421	32341	31615	31373
30485	14667	33189	29577	37425	32333	31605	31377
30477	14698	32836	29571	37421	32332	31601	31373
30426	14650	32916	29535	37417	32324	31597	31369
30404	14680	32548	29559	37428	32331	31596	31378
30415	14648	32649	29558	37407	32341	31599	31381
30345	14668	32332	29572	37401	32319	31612	31255
30297	14689	32287	29573	37399	32316	31617	31372
30300	14647	32626	29559	37388	32322	31620	31387
30268	14655	32813	29547	37383	32303	31619	31380
30201	14665	32634	29524	37385	32301	31631	31371
30249	14696	32828	29563	37391	32298	31641	31381
30308	14645	33018	29557	37389	32301	31643	31333
30393	14661	32951	29559	37397	32305	31673	31377
30466	14693	33204	29573	37396	32309	31673	31383
30393	14693	32943	29560	37399	32313	31684	31375
30245	14733	32591	29559	37388	32321	31683	31380
30007	14647	32291	29557	37391	32327	31694	31383
29841	14665	32028	29580	37387	32343	31717	31388
29796	14645	32381	29565	37391	32351	31737	31377
29749	14658	32197	29505	37397	32338	31713	31396
29700	14678	32559	29551	37399	32341	31705	31377
29678	14644	32948	29562	37399	32348	31703	31381
29695	14657	32925	29575	37385	32356	31697	31397
